title,description,category,resolution,priority
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2533 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 5719 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6803 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6152 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3952 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 4241 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 4322 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2135 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 6216 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2928 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 9990 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 7960 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 2685 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 4639 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 9652 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 3644 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6569 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 9575 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 4683 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 3373 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3372 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 8804 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 5100 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
